time;count
0.036072;1426
0.072144;173
0.108216;726
0.144288;1095
0.18036;1366
0.216432;983
0.252504;860
0.288576;701
0.324648;460
0.36072;366
0.396792;236
0.432864;189
0.468936;142
0.505008;130
0.54108;115
0.577152;96
0.613224;80
0.649296;59
0.685368;43
0.72144;46
0.757512;42
0.793584;34
0.829656;35
0.865728;29
0.9018;33
0.937872;35
0.973944;25
1.01002;16
1.04609;21
1.08216;26
1.11823;27
1.1543;34
1.19038;25
1.22645;40
1.26252;27
1.29859;17
1.33466;23
1.37074;17
1.40681;23
1.44288;14
1.47895;23
1.51502;19
1.5511;12
1.58717;14
1.62324;20
1.65931;6
1.69538;6
1.73146;8
1.76753;9
1.8036;3
1.83967;4
1.87574;4
1.91182;5
1.94789;5
1.98396;5
2.02003;3
2.0561;4
2.09218;3
2.12825;1
2.16432;1
2.20039;2
2.23646;0
2.27254;1
2.30861;0
2.34468;2
2.38075;2
2.41682;0
2.4529;0
2.48897;0
2.52504;0
2.56111;0
2.59718;0
2.63326;1
2.66933;1
2.7054;1
